,number,value,datetime_start,datetime_complete,duration,params_Tu,params_Tv,system_attrs_fail_reason,state
126,126,104921845.98130459,2022-01-14 10:38:41.000965,2022-01-14 10:38:43.398721,0 days 00:00:02.397756,0.8643901726900194,6509616.199727013,,COMPLETE
127,127,60520797.3989956,2022-01-14 10:38:43.567219,2022-01-14 10:39:00.731393,0 days 00:00:17.164174,0.13641290376614323,3754933.845589529,,COMPLETE
128,128,28267474.80672717,2022-01-14 10:39:00.888098,2022-01-14 10:39:19.228975,0 days 00:00:18.340877,4.8116244650935585,1753786.4776781728,,COMPLETE
129,129,354597.43568255636,2022-01-14 10:39:19.388753,2022-01-14 10:39:24.859144,0 days 00:00:05.470391,5.796284385278364,22000.106546483286,,COMPLETE
130,130,789066.4944181377,2022-01-14 10:39:25.028334,2022-01-14 10:39:28.435734,0 days 00:00:03.407400,8.018821689058942,48920.904050373945,,COMPLETE
131,131,132468840.49923368,2022-01-14 10:39:28.590938,2022-01-14 10:39:31.228398,0 days 00:00:02.637460,9.142380956578139,8218586.368793073,,COMPLETE
132,132,90274152.80840987,2022-01-14 10:39:31.401367,2022-01-14 10:39:33.671202,0 days 00:00:02.269835,2.8676926609878963,5600830.822786383,,COMPLETE
133,133,1891079.6012631096,2022-01-14 10:39:33.832615,2022-01-14 10:39:40.045475,0 days 00:00:06.212860,6.3240528509813245,117318.95457056811,,COMPLETE
134,134,36883.82063098315,2022-01-14 10:39:40.200331,2022-01-14 10:39:57.985525,0 days 00:00:17.785194,6.518013883452783,2304.093141037556,,COMPLETE
135,135,57219414.04487818,2022-01-14 10:39:58.157244,2022-01-14 10:40:16.518597,0 days 00:00:18.361353,6.939654538691162,3549994.1424062373,,COMPLETE
136,136,1583490753.538036,2022-01-14 10:40:16.687996,2022-01-14 10:40:35.014091,0 days 00:00:18.326095,2.2916484842638676,98243082.43602963,,COMPLETE
137,137,31929055.91346871,2022-01-14 10:40:35.144377,2022-01-14 10:40:35.884549,0 days 00:00:00.740172,89.14219340417455,1978919.4885464616,,COMPLETE
138,138,1037383.6715640116,2022-01-14 10:40:36.095423,2022-01-14 10:40:40.237181,0 days 00:00:04.141758,10.428493041875958,64283.93678122237,,COMPLETE
139,139,247507.53824128697,2022-01-14 10:40:40.366468,2022-01-14 10:40:44.526282,0 days 00:00:04.159814,10.313372890448933,15280.311653408007,,COMPLETE
140,140,71580329.20314743,2022-01-14 10:40:44.682442,2022-01-14 10:40:48.736248,0 days 00:00:04.053806,10.648596928638478,4440910.161100084,,COMPLETE
141,141,37868129.3600792,2022-01-14 10:40:48.869329,2022-01-14 10:40:51.608963,0 days 00:00:02.739634,13.35513820430901,2349300.885035348,,COMPLETE
142,142,106517848.31379972,2022-01-14 10:40:51.764005,2022-01-14 10:40:55.322072,0 days 00:00:03.558067,10.314606639753563,6608512.437142458,,COMPLETE
143,143,31087955.8448461,2022-01-14 10:40:55.469926,2022-01-14 10:40:58.600541,0 days 00:00:03.130615,8.186291855895542,1928723.9189013352,,COMPLETE
144,144,10548593.960262224,2022-01-14 10:40:58.916905,2022-01-14 10:41:04.946320,0 days 00:00:06.029415,5.981829813169483,654454.151641208,,COMPLETE
145,145,1348600.8341531958,2022-01-14 10:41:05.107087,2022-01-14 10:41:07.600905,0 days 00:00:02.493818,16.18437857745375,83486.85952763722,,COMPLETE
146,146,1334969.6266814992,2022-01-14 10:41:07.750682,2022-01-14 10:41:10.709207,0 days 00:00:02.958525,15.993468369304297,82645.72541371493,,COMPLETE
147,147,513851330.84089816,2022-01-14 10:41:10.860699,2022-01-14 10:41:13.532140,0 days 00:00:02.671441,12.4896671586424,31880303.194359075,,COMPLETE
